permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
129,0.4273444117291984,85.329228095999497,370,0,0,ca1f685a59304b860f9628e2eb568352ef2e60bbe88810d92b06d340cf60a9fb
130,0.42630948389379769,88.32845984999949,370,0,0,f70ae2fe7e3fb363c61798e7fa403da873a12b7f2d0462e8178b6cfafd7b1d84
131,0.46063222031341422,86.37672718399881,370,0,0,7cc896aa9cea0df14aee6f10b89651dacd03d66b7c6c1d53373218c986476931
132,0.371823367645851,91.853689090999978,370,0,0,bb69abf8efb0b1d1737b4832e2ceaf6933a6d1d06c134565fa1c15df893fc7b3
133,0.4329985710908707,92.439945182999523,370,0,0,bb09f442b0d7f62c3137039a2d518e7e0d31aae275da79fb03aecff70a1ba0b9
134,0.39310767185617179,89.594568442000309,370,0,0,45e1a1a40e81e397f466160fe52680bf7bd649751ca39c2cf24a3c89b2e8f4e2
135,0.42328129612243182,92.57959982100148,370,0,0,70f222ba82487b5723fc9c41f42947e8a8358743be4ea6b74bb7e5d2ab254473
136,0.3881765619121062,92.859039562999897,370,0,0,3cab22850f337c7a95d8519fb34550ac8199dfcd96d58958fd6b311e421a53c8
137,0.43317964590799207,92.74907609399996,370,0,0,d7d824af746045a3f74a4f361834221ac848ef744b10348dac67cafa15646df7
138,0.32494956533904401,91.487531134998804,370,0,0,b79ecb61a5bb387a2181561789c06a184be7a643ca30c08edb85528fb63e3631
139,0.4017313595117154,93.46401952999986,370,0,0,9a30b09cfc851966150bf9e941531e690c02e83f169a68c4a8307a4d8ead1025
140,0.42283055125887431,90.87751262600068,370,0,0,ad358cc693493ffa2b45cbbad3f0de9942229986bcfb6870b875bab0540d5b8d
141,0.41167499056901979,89.321028624999599,370,0,0,630af45288fddf35836f7a9d7712e60455c65d491097e3a243a6a5f45332c534
142,0.43046526784541761,91.165518152000004,370,0,0,9c3b73b591ccd58e22809990cf554c49d4248cc066d84c97487ae26d008741b2
143,0.4076525153586979,92.820745753999276,370,0,0,8ca08853e9bb330b8c60132ca76c16c1577ae9c39c533cb7d69b1b8b3e03118b
144,0.3734847894756792,91.395235113999661,370,0,0,8fd55bc987d3dc1a2e5dc3e5c4d180dd5fb23f752ed2808afc1cafc3d7227e5e
145,0.3679508057176975,93.739186427001201,370,0,0,1a995b8e51a8fed380d86355707c60c441b07d3728bda7effc9507d85dd506c4
146,0.37583196436481642,92.647925867000595,370,0,0,e166c099f392fe2136479854ec96af1cb38065b9cdafd1fcc593947850058c7d
